Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allopontixanthobacter sediminis],45.4,45.4,40%,0.043,33.33,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB5779082.1?report=genbank&log$=prottop&blast_rank=595&RID=AVF030C7015"",""MGB5779082.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Korobacteraceae bacterium],44.3,44.3,28%,0.043,39.62,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB8889248.1?report=genbank&log$=prottop&blast_rank=596&RID=AVF030C7015"",""MGB8889248.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomicrobium sp.],45.4,45.4,97%,0.044,28.21,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY1142822.1?report=genbank&log$=prottop&blast_rank=597&RID=AVF030C7015"",""HEY1142822.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Streptomyces cellostaticus],45.4,45.4,75%,0.044,30.34,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_250400137.1?report=genbank&log$=prottop&blast_rank=598&RID=AVF030C7015"",""WP_250400137.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Phenylobacterium sp.],45.4,45.4,56%,0.044,29.52,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_329633328.1?report=genbank&log$=prottop&blast_rank=599&RID=AVF030C7015"",""WP_329633328.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp. FW021-MT20],45.4,45.4,31%,0.045,39.66,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008216298.1?report=genbank&log$=prottop&blast_rank=600&RID=AVF030C7015"",""WP_008216298.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],44.7,44.7,68%,0.045,30.23,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_324379094.1?report=genbank&log$=prottop&blast_rank=601&RID=AVF030C7015"",""WP_324379094.1"")"
2 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter denitrificans],45.4,45.4,26%,0.045,43.75,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114344921.1?report=genbank&log$=prottop&blast_rank=602&RID=AVF030C7015"",""WP_114344921.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Granulicella aggregans],44.3,44.3,33%,0.045,35.48,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184213169.1?report=genbank&log$=prottop&blast_rank=603&RID=AVF030C7015"",""WP_184213169.1"")"
1 member(s) 1 organism(s),cyanobacteria,lasso peptide biosynthesis B2 protein [Cyanobacteriota bacterium],45.8,45.8,31%,0.045,40.68,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBY0497907.1?report=genbank&log$=prottop&blast_rank=604&RID=AVF030C7015"",""MBY0497907.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MAG: hypothetical protein B7X53_01280 [Hyphomonas sp. 34-62-18],45.8,45.8,33%,0.046,35.48,296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OZB19132.1?report=genbank&log$=prottop&blast_rank=605&RID=AVF030C7015"",""OZB19132.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],44.3,44.3,31%,0.046,37.93,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDT8068485.1?report=genbank&log$=prottop&blast_rank=606&RID=AVF030C7015"",""MDT8068485.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],44.3,44.3,35%,0.046,32.31,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB2667658.1?report=genbank&log$=prottop&blast_rank=607&RID=AVF030C7015"",""MGB2667658.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pelomonas parva],45.4,45.4,63%,0.046,30.83,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_394483242.1?report=genbank&log$=prottop&blast_rank=608&RID=AVF030C7015"",""WP_394483242.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas spermidinifaciens],45.4,45.4,45%,0.046,34.12,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096343634.1?report=genbank&log$=prottop&blast_rank=609&RID=AVF030C7015"",""WP_096343634.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas panacis],45.4,45.4,64%,0.046,30.58,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069204945.1?report=genbank&log$=prottop&blast_rank=610&RID=AVF030C7015"",""WP_069204945.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MAG: lasso peptide biosynthesis B2 protein [Rhodanobacter sp.],45.4,45.4,31%,0.047,35.59,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TAL84692.1?report=genbank&log$=prottop&blast_rank=611&RID=AVF030C7015"",""TAL84692.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Blastomonas aquatica],45.4,45.4,41%,0.047,37.66,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188515270.1?report=genbank&log$=prottop&blast_rank=612&RID=AVF030C7015"",""WP_188515270.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Pseudoxanthomonas],45.4,45.4,58%,0.047,29.31,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_306995031.1?report=genbank&log$=prottop&blast_rank=613&RID=AVF030C7015"",""WP_306995031.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],45.4,45.4,33%,0.048,40.32,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC8517675.1?report=genbank&log$=prottop&blast_rank=614&RID=AVF030C7015"",""MGC8517675.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia sp. NPDC051321],44.7,44.7,55%,0.048,34.58,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_397131799.1?report=genbank&log$=prottop&blast_rank=615&RID=AVF030C7015"",""WP_397131799.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobiales bacterium],44.3,44.3,37%,0.049,32.00,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY0306141.1?report=genbank&log$=prottop&blast_rank=616&RID=AVF030C7015"",""HEY0306141.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter denitrificans],45.4,45.4,31%,0.050,37.93,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007511728.1?report=genbank&log$=prottop&blast_rank=617&RID=AVF030C7015"",""WP_007511728.1"")"



		


